record_id,metric_number,legacy_metric_number_mapped,crosswalk_status,metric_type,line_type,hftd_tier,area_type,wui_status,unit_canonical,unit_crosswalk_status,actual_value,comments,blank_meaning,utility_id,reporting_year,reporting_quarter,schema_version,source_revision,source_report_quarter,source_file,source_sheet,source_row,source_value_cell,guideline_url
T9R-df25cc1a07361d84,1090000000,1.d.0.a.i,metric_label_update,1. Number of overhead circuit miles upgraded,Distribution,Non-HFTD,Urban,WUI,Circuit miles,exact,0,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 9,10,M10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T9R-717977a6cdb84c20,1090000000,1.d.0.a.i,metric_label_update,1. Number of overhead circuit miles upgraded,Distribution,Non-HFTD,Urban,WUI,Circuit miles,exact,0,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 9,10,N10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T9R-0e8122bfc8b5c01c,1090000000,1.d.0.a.i,metric_label_update,1. Number of overhead circuit miles upgraded,Distribution,Non-HFTD,Urban,WUI,Circuit miles,exact,0,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 9,10,O10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T9R-441aa1fc14f3172c,1090000000,1.d.0.a.i,metric_label_update,1. Number of overhead circuit miles upgraded,Distribution,Non-HFTD,Urban,WUI,Circuit miles,exact,0,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 9,10,P10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T9R-c562b858e555341f,1090000001,1.d.0.a.ii,metric_label_update,1. Number of overhead circuit miles upgraded,Distribution,Non-HFTD,Urban,Non-WUI,Circuit miles,exact,0,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 9,11,M11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T9R-a1685b80fdeefdab,1090000001,1.d.0.a.ii,metric_label_update,1. Number of overhead circuit miles upgraded,Distribution,Non-HFTD,Urban,Non-WUI,Circuit miles,exact,0,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 9,11,N11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T9R-c93917551877d122,1090000001,1.d.0.a.ii,metric_label_update,1. Number of overhead circuit miles upgraded,Distribution,Non-HFTD,Urban,Non-WUI,Circuit miles,exact,0,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 9,11,O11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T9R-4d641df0299ba8cb,1090000001,1.d.0.a.ii,metric_label_update,1. Number of overhead circuit miles upgraded,Distribution,Non-HFTD,Urban,Non-WUI,Circuit miles,exact,0,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 9,11,P11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T9R-fad51d525d7edff7,1090000002,1.d.0.b.i,metric_label_update,1. Number of overhead circuit miles upgraded,Distribution,Non-HFTD,Rural,WUI,Circuit miles,exact,0,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 9,12,M12,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T9R-6d9102e5c757fc62,1090000002,1.d.0.b.i,metric_label_update,1. Number of overhead circuit miles upgraded,Distribution,Non-HFTD,Rural,WUI,Circuit miles,exact,0,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 9,12,N12,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
