record_id,metric_number,legacy_metric_number_mapped,crosswalk_status,metric_type,line_type,hftd_tier,area_type,wui_status,unit_canonical,unit_crosswalk_status,actual_value,comments,blank_meaning,utility_id,reporting_year,reporting_quarter,schema_version,source_revision,source_report_quarter,source_file,source_sheet,source_row,source_value_cell,guideline_url
T7R-8b413e040b4a8028,1070000000,1.d.0.a.i,exact_dimensions_and_unit,1. Overhead circuit miles,Distribution,Non-HFTD,Urban,WUI,Circuit miles,exact,394.971,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 7,10,M10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T7R-f540d56f16e4371a,1070000000,1.d.0.a.i,exact_dimensions_and_unit,1. Overhead circuit miles,Distribution,Non-HFTD,Urban,WUI,Circuit miles,exact,394.78,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 7,10,N10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T7R-29f66d70323307ea,1070000000,1.d.0.a.i,exact_dimensions_and_unit,1. Overhead circuit miles,Distribution,Non-HFTD,Urban,WUI,Circuit miles,exact,394.46,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 7,10,O10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T7R-b0af9e8280d8c613,1070000000,1.d.0.a.i,exact_dimensions_and_unit,1. Overhead circuit miles,Distribution,Non-HFTD,Urban,WUI,Circuit miles,exact,394.24,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 7,10,P10,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T7R-e54614a5720f4e00,1070000001,1.d.0.a.ii,exact_dimensions_and_unit,1. Overhead circuit miles,Distribution,Non-HFTD,Urban,Non-WUI,Circuit miles,exact,2072.019,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 7,11,M11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T7R-772ec8d65f560855,1070000001,1.d.0.a.ii,exact_dimensions_and_unit,1. Overhead circuit miles,Distribution,Non-HFTD,Urban,Non-WUI,Circuit miles,exact,2071.65,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 7,11,N11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T7R-988d23325a426d73,1070000001,1.d.0.a.ii,exact_dimensions_and_unit,1. Overhead circuit miles,Distribution,Non-HFTD,Urban,Non-WUI,Circuit miles,exact,2069.44,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 7,11,O11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T7R-ec99d8a36101fb13,1070000001,1.d.0.a.ii,exact_dimensions_and_unit,1. Overhead circuit miles,Distribution,Non-HFTD,Urban,Non-WUI,Circuit miles,exact,2066.75,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 7,11,P11,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T7R-d146b98a46f3d122,1070000002,1.d.0.b.i,exact_dimensions_and_unit,1. Overhead circuit miles,Distribution,Non-HFTD,Rural,WUI,Circuit miles,exact,175.199,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 7,12,M12,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T7R-1b9ab1a0a2dfd3d3,1070000002,1.d.0.b.i,exact_dimensions_and_unit,1. Overhead circuit miles,Distribution,Non-HFTD,Rural,WUI,Circuit miles,exact,175.3,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 7,12,N12,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T7R-3dc6985d87654119,1070000002,1.d.0.b.i,exact_dimensions_and_unit,1. Overhead circuit miles,Distribution,Non-HFTD,Rural,WUI,Circuit miles,exact,175.17,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 7,12,O12,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T7R-5fb346c45ada0563,1070000002,1.d.0.b.i,exact_dimensions_and_unit,1. Overhead circuit miles,Distribution,Non-HFTD,Rural,WUI,Circuit miles,exact,175.16,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 7,12,P12,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
