record_id,comparison_group_id,metric_number,mapped_v4_metric_number,initiative_mapping_status,tracking_id_normalized,group_tracking_ids,wmp_category,wmp_initiative,wmp_activity,expense_type,hftd_tier,unit_canonical,actual_value_canonical,primary_driver_targeted,secondary_drivers_targeted,year_initiated,most_recent_proceeding,memorandum_account,current_compliance_status,associated_rules,other_spend_category,comments,blank_meaning,utility_id,reporting_year,schema_version,source_revision,source_file,source_sheet,source_row,source_value_cell,guideline_url
T11R-f997146ec724f416,T11-97310a8a81f2f1,,3110000162,component_of_v4_tracking_id_group,WMP.1198,WMP.1008;WMP.1009;WMP.1198;WMP.514;WMP.532;WMP.557,"Emergency Preparedness, Collaboration and Public Awareness",Emergency Preparedness and Recovery Plan,,OPEX,Territory,$ Thousands,0,PSPS Vulnerability,NA,NA,NA,NA,NA,NA,NA,Engagement with access and functional needs populations,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,12,AF12,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-91341d56d977e9f5,T11-97310a8a81f2f1,,3110000163,component_of_v4_tracking_id_group,WMP.1198,WMP.1008;WMP.1009;WMP.1198;WMP.514;WMP.532;WMP.557,"Emergency Preparedness, Collaboration and Public Awareness",Emergency Preparedness and Recovery Plan,,OPEX,HFTD,$ Thousands,0,PSPS Vulnerability,NA,NA,NA,NA,NA,NA,NA,Engagement with access and functional needs populations,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,12,AG12,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-9e3a3b0602896d9f,T11-900fca4a60b69b,,3110000164,component_of_v4_tracking_id_group,WMP.1199,WMP.1199;WMP.1200;WMP.1201;WMP.1337,"Emergency Preparedness, Collaboration and Public Awareness",External Collaboration and Coordination,,CAPEX,Territory,$ Thousands,0,PSPS Vulnerability,NA,NA,NA,NA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,13,AD13,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-6d6ee6c22778b4fb,T11-900fca4a60b69b,,3110000165,component_of_v4_tracking_id_group,WMP.1199,WMP.1199;WMP.1200;WMP.1201;WMP.1337,"Emergency Preparedness, Collaboration and Public Awareness",External Collaboration and Coordination,,CAPEX,HFTD,$ Thousands,0,PSPS Vulnerability,NA,NA,NA,NA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,13,AE13,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-71c55b97c00458b1,T11-900fca4a60b69b,,3110000166,component_of_v4_tracking_id_group,WMP.1199,WMP.1199;WMP.1200;WMP.1201;WMP.1337,"Emergency Preparedness, Collaboration and Public Awareness",External Collaboration and Coordination,,OPEX,Territory,$ Thousands,0,PSPS Vulnerability,NA,NA,NA,NA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,13,AF13,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-b6fca195630d7003,T11-900fca4a60b69b,,3110000167,component_of_v4_tracking_id_group,WMP.1199,WMP.1199;WMP.1200;WMP.1201;WMP.1337,"Emergency Preparedness, Collaboration and Public Awareness",External Collaboration and Coordination,,OPEX,HFTD,$ Thousands,0,PSPS Vulnerability,NA,NA,NA,NA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,13,AG13,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-1f10199eddbc0a6d,T11-900fca4a60b69b,,3110000164,component_of_v4_tracking_id_group,WMP.1200,WMP.1199;WMP.1200;WMP.1201;WMP.1337,"Emergency Preparedness, Collaboration and Public Awareness",External Collaboration and Coordination,,CAPEX,Territory,$ Thousands,0,PSPS Vulnerability,NA,NA,NA,NA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,14,AD14,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-28fd4435db8529fd,T11-900fca4a60b69b,,3110000165,component_of_v4_tracking_id_group,WMP.1200,WMP.1199;WMP.1200;WMP.1201;WMP.1337,"Emergency Preparedness, Collaboration and Public Awareness",External Collaboration and Coordination,,CAPEX,HFTD,$ Thousands,0,PSPS Vulnerability,NA,NA,NA,NA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,14,AE14,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-ec8accd2ca871fff,T11-900fca4a60b69b,,3110000166,component_of_v4_tracking_id_group,WMP.1200,WMP.1199;WMP.1200;WMP.1201;WMP.1337,"Emergency Preparedness, Collaboration and Public Awareness",External Collaboration and Coordination,,OPEX,Territory,$ Thousands,0,PSPS Vulnerability,NA,NA,NA,NA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,14,AF14,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T11R-e473eaff276e36d0,T11-900fca4a60b69b,,3110000167,component_of_v4_tracking_id_group,WMP.1200,WMP.1199;WMP.1200;WMP.1201;WMP.1337,"Emergency Preparedness, Collaboration and Public Awareness",External Collaboration and Coordination,,OPEX,HFTD,$ Thousands,0,PSPS Vulnerability,NA,NA,NA,NA,NA,NA,NA,NA,,SDG&E,2023,v3.1,0,SDGE_2023_Q4_Tables1-15.xlsx,Table 11,14,AG14,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
