record_id,metric_number,legacy_metric_number_mapped,v3_1_to_v3_2_domain_status,v3_2_to_v4_label_status,metric_type,ignition_driver,line_type,hftd_tier,unit_canonical,unit_crosswalk_status,ignition_driver_tracked,actual_value,comments,blank_meaning,utility_id,reporting_year,reporting_quarter,schema_version,source_revision,source_report_quarter,source_file,source_sheet,source_row,source_value_cell,guideline_url
T6R-81447906836267e7,1060000003,1.a.t.0,exact,exact,1. Dig-in,Dig-in,Transmission,Non-HFTD,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,13,M13,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-74d837baf0e95625,1060000003,1.a.t.0,exact,exact,1. Dig-in,Dig-in,Transmission,Non-HFTD,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,13,N13,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-3795aee353980794,1060000003,1.a.t.0,exact,exact,1. Dig-in,Dig-in,Transmission,Non-HFTD,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,13,O13,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-cfa94d14598873c0,1060000003,1.a.t.0,exact,exact,1. Dig-in,Dig-in,Transmission,Non-HFTD,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,13,P13,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-ec3a361766822d34,1060000004,1.a.t.2,exact,exact,1. Dig-in,Dig-in,Transmission,HFTD Tier 2,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,14,M14,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-0c8d5d3ea487781b,1060000004,1.a.t.2,exact,exact,1. Dig-in,Dig-in,Transmission,HFTD Tier 2,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,14,N14,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-f571d13a045fd3b0,1060000004,1.a.t.2,exact,exact,1. Dig-in,Dig-in,Transmission,HFTD Tier 2,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,14,O14,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-27c5fa07ee2c345b,1060000004,1.a.t.2,exact,exact,1. Dig-in,Dig-in,Transmission,HFTD Tier 2,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,14,P14,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-49cf19aecaae9eb7,1060000005,1.a.t.3,exact,exact,1. Dig-in,Dig-in,Transmission,HFTD Tier 3,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,15,M15,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-74dea9a4748e0059,1060000005,1.a.t.3,exact,exact,1. Dig-in,Dig-in,Transmission,HFTD Tier 3,# ignitions,exact,No,,,SDG&E does not consider this driver as a risk event - see comments in QDR cover letter,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,15,N15,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
