record_id,metric_number,legacy_metric_number_mapped,crosswalk_status,metric_type,line_type,hftd_tier,area_type,wui_status,unit_canonical,unit_crosswalk_status,actual_value,comments,blank_meaning,utility_id,reporting_year,reporting_quarter,schema_version,source_revision,source_report_quarter,source_file,source_sheet,source_row,source_value_cell,guideline_url
T8R-d8cebd00509a032c,1080000003,1.d.0.b.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Rural,Non-WUI,Circuit miles,exact,-0.7939999999999827,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,13,N13,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-6c7253a00a26fb13,1080000003,1.d.0.b.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Rural,Non-WUI,Circuit miles,exact,0,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,13,O13,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-8aa3315f40865685,1080000003,1.d.0.b.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Rural,Non-WUI,Circuit miles,exact,-1.200000000000017,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,13,P13,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-3e233b36abccdfad,1080000004,1.d.0.c.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Highly rural,WUI,Circuit miles,exact,0.0009999999999976694,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,14,M14,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-b60669dc5835dcfc,1080000004,1.d.0.c.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Highly rural,WUI,Circuit miles,exact,0.1490000000000009,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,14,N14,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-5eeb30c96d339a3a,1080000004,1.d.0.c.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Highly rural,WUI,Circuit miles,exact,0,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,14,O14,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-b746073d68274860,1080000004,1.d.0.c.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Highly rural,WUI,Circuit miles,exact,0,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,14,P14,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-9ec78fcf236585c8,1080000005,1.d.0.c.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Highly rural,Non-WUI,Circuit miles,exact,0.10599999999999454,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,15,M15,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-c8548e101e1b714b,1080000005,1.d.0.c.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Highly rural,Non-WUI,Circuit miles,exact,0.11400000000000432,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,15,N15,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-122b0101a1c46364,1080000005,1.d.0.c.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Highly rural,Non-WUI,Circuit miles,exact,0,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,15,O15,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-b4370fd6549368a7,1080000005,1.d.0.c.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,Non-HFTD,Highly rural,Non-WUI,Circuit miles,exact,0,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,15,P15,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-8ba284d997912c41,1080000006,1.d.2.a.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Urban,WUI,Circuit miles,exact,0.15800000000000125,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,16,M16,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-a14357d033c58419,1080000006,1.d.2.a.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Urban,WUI,Circuit miles,exact,0.031999999999996476,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,16,N16,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-c23340cdd2c0f7f8,1080000006,1.d.2.a.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Urban,WUI,Circuit miles,exact,0.18000000000000682,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,16,O16,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-f76197d55310bf23,1080000006,1.d.2.a.i,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Urban,WUI,Circuit miles,exact,-0.05000000000001137,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,16,P16,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-43abbf7a3e78fd82,1080000007,1.d.2.a.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Urban,Non-WUI,Circuit miles,exact,0.03900000000000148,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,17,M17,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-c6f38b8a92d4b387,1080000007,1.d.2.a.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Urban,Non-WUI,Circuit miles,exact,0.4609999999999985,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,17,N17,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-9feff9bb4019c639,1080000007,1.d.2.a.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Urban,Non-WUI,Circuit miles,exact,-0.04000000000000625,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,17,O17,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T8R-0bf1478d82b3913b,1080000007,1.d.2.a.ii,metric_label_update,1. Net addition (or removal) - overhead circuit miles,Distribution,HFTD Tier 2,Urban,Non-WUI,Circuit miles,exact,-0.03999999999999204,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 8,17,P17,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
